verbatim;parent;edited
Mentha x smithiana R.A. Graham;Mentha aquatica;Mentha × smithiana R.A. Graham
Mentha x smithiana R.A. Graham;Mentha spicata;Mentha × smithiana R.A. Graham
Mentha x verticillata L.;Mentha arvensis;Mentha × verticillata L.
Mentha x verticillata L.;Mentha aquatica;Mentha × verticillata L.
Mentha x villosa Huds.;NA;Mentha × villosa Huds.
Mentha x villosa Huds.;Mentha villosa Huds.;Mentha × villosa Huds.
Mentha x villosa Huds;Mentha spicata;Mentha × villosa Huds
Mentha x villosa Huds;NA;Mentha × villosa Huds
Mentha x villosonervata Opiz;Mentha spicata;Mentha × villosonervata Opiz
Mentha x villosonervata Opiz;Mentha longifolia;Mentha × villosonervata Opiz
Mimulus guttatus x luteus x cupreus;Mimulus guttatus;Mimulus guttatus × luteus × cupreus
Mimulus guttatus x luteus x cupreus;Mimulus luteus;Mimulus guttatus × luteus × cupreus
Mimulus guttatus x luteus x cupreus;Mimulus cupreus;Mimulus guttatus × luteus × cupreus
Mimulus x burnetii S. Arn.;Mimulus guttatus;Mimulus × burnetii S. Arn.
Mimulus x burnetii S. Arn.;Mimulus cupreus;Mimulus × burnetii S. Arn.
Mimulus x maculosus T. Moore;Mimulus luteus;Mimulus × maculosus T. Moore
Mimulus x maculosus T. Moore;Mimulus cupreus;Mimulus × maculosus T. Moore
Mimulus x robertsii Silverside;Mimulus guttatus;Mimulus × robertsii Silverside
Mimulus x robertsii Silverside;Mimulus luteus;Mimulus × robertsii Silverside
Narcissus x incomparabilis Mill.;Narcissus poeticus;Narcissus × incomparabilis Mill.
Narcissus x incomparabilis Mill.;Narcissus pseudonarcissus;Narcissus × incomparabilis Mill.
Narcissus x medioluteus Mill.;Narcissus tazetta;Narcissus × medioluteus Mill.
Narcissus x medioluteus Mill.;Narcissus poeticus;Narcissus × medioluteus Mill.
Narcissus x monochromus P.D. Sell;Narcissus pseudonarcissus;Narcissus × monochromus P.D. Sell
Narcissus x monochromus P.D. Sell;Narcissus cyclamineus;Narcissus × monochromus P.D. Sell
Narcissus x odorus L.;Narcissus pseudonarcissus;Narcissus × odorus L.
Narcissus x odorus L.;Narcissus jonquilla;Narcissus × odorus L.
Nepeta x faassenii Bergmans ex Stearn;Nepeta nepetella;Nepeta × faassenii Bergmans ex Stearn
Nepeta x faassenii Bergmans ex Stearn;Nepeta racemosa;Nepeta × faassenii Bergmans ex Stearn
Nicotiana x sanderae W. Watson;Nicotiana alata;Nicotiana × sanderae W. Watson
Nicotiana x sanderae W. Watson;Nicotiana forgetiana;Nicotiana × sanderae W. Watson
Nothofagus nervosa x obliqua;Nothofagus nervosa;Nothofagus nervosa × obliqua
Nothofagus nervosa x obliqua;Nothofagus obliqua;Nothofagus nervosa × obliqua
Oenothera biennis x cambrica;Oenothera biennis;Oenothera biennis × cambrica
Oenothera biennis x cambrica;Oenothera cambrica;Oenothera biennis × cambrica
Oenothera x britannica Rostanski;Oenothera glazioviana;Oenothera × britannica Rostanski
Oenothera x britannica Rostanski;Oenothera cambrica;Oenothera × britannica Rostanski
Oenothera x fallax Renner;Oenothera glazioviana;Oenothera × fallax Renner
Oenothera x fallax Renner;Oenothera biennis;Oenothera × fallax Renner
Olearia x haastii Hook. f.;Olearia avicenniifolia;Olearia × haastii Hook. f.
Olearia x haastii Hook. f.;Olearia moschata;Olearia × haastii Hook. f.
Papaver x hungaricum Borbás;Papaver rhoeas;Papaver × hungaricum Borbás
Papaver x hungaricum Borbás;Papaver dubium;Papaver × hungaricum Borbás
Petunia x hybrida (Hook.) Vilm.;Petunia axillaris;Petunia × hybrida (Hook.) Vilm.
Petunia x hybrida (Hook.) Vilm.;Petunia integrifolia;Petunia × hybrida (Hook.) Vilm.
Philadelphus x virginalis Rehder;Philadelphus coronarius;Philadelphus × virginalis Rehder
Philadelphus x virginalis Rehder;Philadelphus microphyllus;Philadelphus × virginalis Rehder
Philadelphus x virginalis Rehder;Philadelphus pubescens;Philadelphus × virginalis Rehder
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella caespitosa;Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella lactucella;Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella officinarum;Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella aurantiaca;Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.
Platanus x hispanica Mill. ex Münchh.;Platanus occidentalis;Platanus × hispanica Mill. ex Münchh.
Platanus x hispanica Mill. ex Münchh.;Platanus orientalis;Platanus × hispanica Mill. ex Münchh.
Poa x jemtlandica (Almq.) K. Richt.;Poa flexuosa;Poa × jemtlandica (Almq.) K. Richt.
Poa x jemtlandica (Almq.) K. Richt.;Poa alpina;Poa × jemtlandica (Almq.) K. Richt.
Polygonatum x hybridum Brügger;Polygonatum multiflorum;Polygonatum × hybridum Brügger
Polygonatum x hybridum Brügger;Polygonatum odoratum;Polygonatum × hybridum Brügger
Populus x canescens (Aiton) Sm.;NA;Populus × canescens (Aiton) Sm.
Populus x canescens (Aiton) Sm.;Populus tremula;Populus × canescens (Aiton) Sm.
Populus x berolinensis (K. Koch) Dippel;Populus nigra;Populus × berolinensis (K. Koch) Dippel
Populus x berolinensis (K. Koch) Dippel;Populus laurifolia;Populus × berolinensis (K. Koch) Dippel
Populus x canadensis Moench;Populus nigra;Populus × canadensis Moench
Populus x canadensis Moench;Populus deltoides;Populus × canadensis Moench
Populus x generosa A. Henry;Populus trichocarpa;Populus × generosa A. Henry
Populus x generosa A. Henry;Populus deltoides;Populus × generosa A. Henry
Populus x jackii Sarg.;Populus balsamifera;Populus × jackii Sarg.
Populus x jackii Sarg.;Populus deltoides;Populus × jackii Sarg.
Populus x jackii x P. nigra;NA;Populus × jackii × P. nigra
Populus x jackii x P. nigra;Populus jackii;Populus × jackii × P. nigra
Populus x jackii x P. nigra;Populus nigra;Populus × jackii × P. nigra
Prunella x intermedia Link;Prunella vulgaris;Prunella × intermedia Link
Prunella x intermedia Link;Prunella laciniata;Prunella × intermedia Link
Prunus x fruticans Weihe;Prunus spinosa;Prunus × fruticans Weihe
Prunus x fruticans Weihe;Prunus domestica;Prunus × fruticans Weihe
Qercus x crenata Lam.;Quercus cerris;Qercus × crenata Lam.
Qercus x crenata Lam.;Qercus suber;Qercus × crenata Lam.
Quercus cerris x robur;Quercus cerris;Quercus cerris × robur
Quercus cerris x robur;Quercus robur;Quercus cerris × robur
Raphanus x micranthus (Uechtr.) O.E. Schulz;Raphanus raphanistrum;Raphanus × micranthus (Uechtr.) O.E. Schulz
Raphanus x micranthus (Uechtr.) O.E. Schulz;Raphanus sativus;Raphanus × micranthus (Uechtr.) O.E. Schulz
Rheum x hybridum Murray;Rheum palmatum;Rheum × hybridum Murray
Rheum x hybridum Murray;Rheum rhaponticum;Rheum × hybridum Murray
Rorippa x armoracioides (Tausch) Fuss;Rorippa sylvestris;Rorippa × armoracioides (Tausch) Fuss
Rorippa x armoracioides (Tausch) Fuss;Rorippa austriaca;Rorippa × armoracioides (Tausch) Fuss
Rorippa x hungarica Borbás;Rorippa amphibia;Rorippa × hungarica Borbás
Rorippa x hungarica Borbás;Rorippa austriaca;Rorippa × hungarica Borbás
Rosa x alba L.;Rosa arvensis;Rosa × alba L.
Rosa x alba L.;Rosa gallica;Rosa × alba L.
Rosa x paulii Rehder;Rosa arvensis;Rosa × paulii Rehder
Rosa x paulii Rehder;Rosa rugosa;Rosa × paulii Rehder
Rosa x praegeri Wolley-Dod;Rosa rugosa;Rosa × praegeri Wolley-Dod
Rosa x praegeri Wolley-Dod;Rosa canina;Rosa × praegeri Wolley-Dod
Rubus x fraseri Rehder;Rubus odoratus;Rubus × fraseri Rehder
Rubus x fraseri Rehder;Rubus parviflorus;Rubus × fraseri Rehder
Rubus x paxii Focke;Rubus idaeus;Rubus × paxii Focke
Rubus x paxii Focke;Rubus phoenicolasius;Rubus × paxii Focke
Rumex cristatus x conglomeratus;Rumex cristatus;Rumex cristatus × conglomeratus
Rumex cristatus x conglomeratus;Rumex conglomeratus;Rumex cristatus × conglomeratus
Rumex patientia x conglomeratus;Rumex patientia;Rumex patientia × conglomeratus
Rumex patientia x conglomeratus;Rumex conglomeratus;Rumex patientia × conglomeratus
Rumex x akeroydii Rumsey;Rumex cristatus;Rumex × akeroydii Rumsey
Rumex x akeroydii Rumsey;Rumex palustris;Rumex × akeroydii Rumsey
Rumex x borbasii Blocki;Rumex confertus;Rumex × borbasii Blocki
Rumex x borbasii Blocki;Rumex obtusifolius;Rumex × borbasii Blocki
Rumex x confusus Simonk;Rumex patientia;Rumex × confusus Simonk
Rumex x confusus Simonk;Rumex crispus;Rumex × confusus Simonk
Rumex x cornubiensis Holyoak;Rumex frutescens;Rumex × cornubiensis Holyoak
Rumex x cornubiensis Holyoak;Rumex obtusifolius;Rumex × cornubiensis Holyoak
Rumex x dimidiatus Hausskn.;Rumex cristatus;Rumex × dimidiatus Hausskn.
Rumex x dimidiatus Hausskn.;Rumex crispus;Rumex × dimidiatus Hausskn.
Rumex x erubescens Simonk.;Rumex patientia;Rumex × erubescens Simonk.
Rumex x erubescens Simonk.;Rumex obtusifolius;Rumex × erubescens Simonk.
Rumex x lousleyi D.H. Kent;Rumex cristatus;Rumex × lousleyi D.H. Kent
Rumex x lousleyi D.H. Kent;Rumex obtusifolius;Rumex × lousleyi D.H. Kent
Rumex x skofitzii Blocki;Rumex confertus;Rumex × skofitzii Blocki
Rumex x skofitzii Blocki;Rumex crispus;Rumex × skofitzii Blocki
Sagina x normaniana Lagerh.;Sagina saginoides;Sagina × normaniana Lagerh.
Sagina x normaniana Lagerh.;Sagina procumbens;Sagina × normaniana Lagerh.
Salix x alopecuroides Tausch ex Opiz;Salix fragilis;Salix × alopecuroides Tausch ex Opiz
Salix x alopecuroides Tausch ex Opiz;Salix triandra;Salix × alopecuroides Tausch ex Opiz
Salix x angusensis Rech. f.;Salix viminalis;Salix × angusensis Rech. f.
Salix x angusensis Rech. f.;Salix cinerea;Salix × angusensis Rech. f.
Salix x angusensis Rech. f.;Salix repens;Salix × angusensis Rech. f.
Salix x calodendron Wimm;Salix viminalis;Salix × calodendron Wimm
Salix x calodendron Wimm;Salix caprea;Salix × calodendron Wimm
Salix x calodendron Wimm;Salix cinerea;Salix × calodendron Wimm
Salix x ehrhartiana Sm.;Salix pentandra;Salix × ehrhartiana Sm.
Salix x ehrhartiana Sm.;Salix alba;Salix × ehrhartiana Sm.
Salix x forbyana Sm.;Salix purpurea;Salix × forbyana Sm.
Salix x forbyana Sm.;Salix viminalis;Salix × forbyana Sm.
Salix x forbyana Sm.;Salix cinerea;Salix × forbyana Sm.
Salix x friesiana Andersson;Salix viminalis;Salix × friesiana Andersson
Salix x friesiana Andersson;Salix repens;Salix × friesiana Andersson
Salix x fruticosa Döll;Salix viminalis;Salix × fruticosa Döll
Salix x fruticosa Döll;Salix aurita;Salix × fruticosa Döll
Salix x hirtii Strähler;Salix viminalis;Salix × hirtii Strähler
Salix x hirtii Strähler;Salix cinerea;Salix × hirtii Strähler
Salix x hirtii Strähler;Salix aurita;Salix × hirtii Strähler
Salix x holosericea Willd.;Salix viminalis;Salix × holosericea Willd.
Salix x holosericea Willd.;Salix cinerea;Salix × holosericea Willd.
Salix x meyeriana Rostk. ex Willd.;Salix pentandra;Salix × meyeriana Rostk. ex Willd.
Salix x meyeriana Rostk. ex Willd.;Salix fragilis;Salix × meyeriana Rostk. ex Willd.
Salix x mollissima Hoffm. ex Elwert;Salix triandra;Salix × mollissima Hoffm. ex Elwert
Salix x mollissima Hoffm. ex Elwert;Salix viminalis;Salix × mollissima Hoffm. ex Elwert
Salix x pendulina Wender;Salix fragilis;Salix × pendulina Wender
Salix x pendulina Wender;Salix babylonica;Salix × pendulina Wender
Salix x rubens Schrank;Salix fragilis;Salix × rubens Schrank
Salix x rubens Schrank;Salix alba;Salix × rubens Schrank
Salix x rubra Huds.;Salix purpurea;Salix × rubra Huds.
Salix x rubra Huds.;Salix viminalis;Salix × rubra Huds.
Salix x seminigricans E.G. Camus & A. Camus;Salix viminalis;Salix × seminigricans E.G. Camus & A. Camus
Salix x seminigricans E.G. Camus & A. Camus;Salix myrsinifolia;Salix × seminigricans E.G. Camus & A. Camus
Salix x sepulcralis Simonk.;Salix alba;Salix × sepulcralis Simonk.
Salix x sepulcralis Simonk.;Salix babylonica;Salix × sepulcralis Simonk.
Salix x smithiana Willd.;Salix viminalis;Salix × smithiana Willd.
Salix x smithiana Willd.;Salix caprea;Salix × smithiana Willd.
Salix x stipularis Sm.;Salix viminalis;Salix × stipularis Sm.
Salix x stipularis Sm.;Salix caprea;Salix × stipularis Sm.
Salix x stipularis Sm.;Salix aurita;Salix × stipularis Sm.
Salix x taylorii Rech. f.;Salix purpurea;Salix × taylorii Rech. f.
Salix x taylorii Rech. f.;Salix viminalis;Salix × taylorii Rech. f.
Salix x taylorii Rech. f.;Salix caprea;Salix × taylorii Rech. f.
Salix x taylorii Rech. f.;Salix cinerea;Salix × taylorii Rech. f.
Saxifraga x geum L.;Saxifraga umbrosa;Saxifraga × geum L.
Saxifraga x geum L.;Saxifraga hirsuta;Saxifraga × geum L.
Saxifraga x polita (Haw.) Link;Saxifraga spathularis;Saxifraga × polita (Haw.) Link
Saxifraga x polita (Haw.) Link;Saxifraga hirsuta;Saxifraga × polita (Haw.) Link
Saxifraga x urbium D.A. Webb;Saxifraga umbrosa;Saxifraga × urbium D.A. Webb
Saxifraga x urbium D.A. Webb;Saxifraga spathularis;Saxifraga × urbium D.A. Webb
Senecio x albescens Burb. & Colgan;Senecio cineraria;Senecio × albescens Burb. & Colgan
Senecio x albescens Burb. & Colgan;Senecio jacobaea;Senecio × albescens Burb. & Colgan
Senecio x baxteri Druce;Senecio squalidus;Senecio × baxteri Druce
Senecio x baxteri Druce;Senecio vulgaris;Senecio × baxteri Druce
Senecio x helwingii Beger ex Hegi;Senecio vulgaris;Senecio × helwingii Beger ex Hegi
Senecio x helwingii Beger ex Hegi;Senecio vernalis;Senecio × helwingii Beger ex Hegi
Senecio x subnebrodensis Simonk.;Senecio squalidus;Senecio × subnebrodensis Simonk.
Senecio x subnebrodensis Simonk.;Senecio viscosus;Senecio × subnebrodensis Simonk.
Senecio x thuretii Briq. & Cavill.;Senecio cineraria;Senecio × thuretii Briq. & Cavill.
Senecio x thuretii Briq. & Cavill.;Senecio erucifolius;Senecio × thuretii Briq. & Cavill.
Senecio x viscidulus Scheele;Senecio sylvaticus;Senecio × viscidulus Scheele
Senecio x viscidulus Scheele;Senecio viscosus;Senecio × viscidulus Scheele
Silene x hampeana Meusel & K. Werner;Silene latifolia;Silene × hampeana Meusel & K. Werner
Silene x hampeana Meusel & K. Werner;Silene dioica;Silene × hampeana Meusel & K. Werner
Solanum x procurrens A.C. Leslie;Solanum nigrum;Solanum × procurrens A.C. Leslie
Solanum x procurrens A.C. Leslie;Solanum physalifolium;Solanum × procurrens A.C. Leslie
Solidago x niederederi Khek;Solidago virgaurea;Solidago × niederederi Khek
Solidago x niederederi Khek;Solidago canadensis;Solidago × niederederi Khek
Sorbus aucuparia x intermedia;Sorbus aucuparia;Sorbus aucuparia × intermedia
Sorbus aucuparia x intermedia;Sorbus intermedia;Sorbus aucuparia × intermedia
Spartina x townsendii H. Groves & J. Groves;Spartina maritima;Spartina × townsendii H. Groves & J. Groves
Spartina x townsendii H. Groves & J. Groves;Spartina alterniflora;Spartina × townsendii H. Groves & J. Groves
Spiraea x arguta Zabel;Spiraea multiflora;Spiraea × arguta Zabel
Spiraea x arguta Zabel;Spiraea thunbergii;Spiraea × arguta Zabel
Spiraea x billardii Hérincq;Spiraea alba;Spiraea × billardii Hérincq
Spiraea x billardii Hérincq;Spiraea douglasii;Spiraea × billardii Hérincq
Spiraea x brachybotrys Lange;Spiraea douglasii;Spiraea × brachybotrys Lange
Spiraea x brachybotrys Lange;Spiraea canescens;Spiraea × brachybotrys Lange
Spiraea x pseudosalicifolia Silverside;Spiraea salicifolia;Spiraea × pseudosalicifolia Silverside
Spiraea x pseudosalicifolia Silverside;Spiraea douglasii;Spiraea × pseudosalicifolia Silverside
Spiraea x rosalba Dippel;Spiraea salicifolia;Spiraea × rosalba Dippel
Spiraea x rosalba Dippel;Spiraea alba;Spiraea × rosalba Dippel
Spiraea x vanhouttei (Briot) Carrière;Spiraea cantoniensis;Spiraea × vanhouttei (Briot) Carrière
Spiraea x vanhouttei (Briot) Carrière;Spiraea trilobata;Spiraea × vanhouttei (Briot) Carrière
Symphoricarpos x chenaultii Rehder;Symphoricarpos microphyllus;Symphoricarpos × chenaultii Rehder
Symphoricarpos x chenaultii Rehder;Symphoricarpos orbiculatus;Symphoricarpos × chenaultii Rehder
Symphytum officinale x asperum x tuberosum;Symphytum officinale;Symphytum officinale × asperum × tuberosum
Symphytum officinale x asperum x tuberosum;Symphytum asperum;Symphytum officinale × asperum × tuberosum
Symphytum officinale x asperum x tuberosum;Symphytum tuberosum;Symphytum officinale × asperum × tuberosum
Symphytum x uplandicum Nyman;Symphytum officinale;Symphytum × uplandicum Nyman
Symphytum x uplandicum Nyman;Symphytum asperum;Symphytum × uplandicum Nyman
Tilia x europaea L;Tilia platyphyllos;Tilia × europaea L
Tilia x europaea L;Tilia cordata;Tilia × europaea L
Tragopogon x mirabilis Rouy;Tragopogon pratensis;Tragopogon × mirabilis Rouy
Tragopogon x mirabilis Rouy;Tragopogon porrifolius;Tragopogon × mirabilis Rouy
Tripleurospermum maritimum x inodorum;Tripleurospermum maritimum;Tripleurospermum maritimum × inodorum
Tripleurospermum maritimum x inodorum;Tripleurospermum inodorum;Tripleurospermum maritimum × inodorum
Verbascum pyramidatum x nigrum;Verbascum pyramidatum;Verbascum pyramidatum × nigrum
Verbascum pyramidatum x nigrum;Verbascum nigrum;Verbascum pyramidatum × nigrum
Verbascum pyramidatum x thapsus;Verbascum pyramidatum;Verbascum pyramidatum × thapsus
Verbascum pyramidatum x thapsus;Verbascum thapsus;Verbascum pyramidatum × thapsus
Verbascum x duernsteinense Teyber;Verbascum thapsus;Verbascum × duernsteinense Teyber
Verbascum x duernsteinense Teyber;Verbascum speciosum;Verbascum × duernsteinense Teyber
Verbascum x intermedium Rupr. ex Bercht. & Pfund;Verbascum blattaria;Verbascum × intermedium Rupr. ex Bercht. & Pfund
Verbascum x intermedium Rupr. ex Bercht. & Pfund;Verbascum nigrum;Verbascum × intermedium Rupr. ex Bercht. & Pfund
Verbascum x kerneri Fritsch;Verbascum phlomoides;Verbascum × kerneri Fritsch
Verbascum x kerneri Fritsch;Verbascum thapsus;Verbascum × kerneri Fritsch
Verbascum x lemaitrei Boreau;Verbascum virgatum;Verbascum × lemaitrei Boreau
Verbascum x lemaitrei Boreau;Verbascum thapsus;Verbascum × lemaitrei Boreau
Veronica longifolia x spicata;Veronica longifolia;Veronica longifolia × spicata
Veronica longifolia x spicata;Veronica spicata;Veronica longifolia × spicata
Viburnum x rhytidophylloides J.V. Suringar;Viburnum lantana;Viburnum × rhytidophylloides J.V. Suringar
Viburnum x rhytidophylloides J.V. Suringar;Viburnum rhytidophyllum;Viburnum × rhytidophylloides J.V. Suringar
Viola x wittrockiana Gams ex Kappert;Viola lutea;Viola × wittrockiana Gams ex Kappert
Viola x wittrockiana Gams ex Kappert;Viola tricolor;Viola × wittrockiana Gams ex Kappert
Viola x wittrockiana Gams ex Kappert;Viola altaica;Viola × wittrockiana Gams ex Kappert
X Agropogon robinsonii (Druce) Melderis & D.C. McClint.;Agrostis stolonifera;× Agropogon robinsonii (Druce) Melderis & D.C. McClint.
X Agropogon robinsonii (Druce) Melderis & D.C. McClint.;Polypogon viridis;× Agropogon robinsonii (Druce) Melderis & D.C. McClint.
X Conyzigeron huelsenii (Vatke) Rauschert;Erigeron acer;× Conyzigeron huelsenii (Vatke) Rauschert
X Conyzigeron huelsenii (Vatke) Rauschert;Conyza canadensis;× Conyzigeron huelsenii (Vatke) Rauschert
X Crataemespilus grandiflora (Sm.) E.G. Camus;Mespilus germanica;× Crataemespilus grandiflora (Sm.) E.G. Camus
X Crataemespilus grandiflora (Sm.) E.G. Camus;Crataegus laevigata;× Crataemespilus grandiflora (Sm.) E.G. Camus
X Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;Cupressus macrocarpa;× Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon
X Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;Xanthocyparis nootkatensis;× Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon
X Festulolium braunii (K. Richt.) A. Camus;Festuca pratensis;× Festulolium braunii (K. Richt.) A. Camus
X Festulolium braunii (K. Richt.) A. Camus;Lolium multiflorum;× Festulolium braunii (K. Richt.) A. Camus
